,연번,상호명,영업소소재지(도로명),게임기종류,게임기수,업종명,데이터기준일자,lat,lon
81,82,골드 PC방,"인천광역시 남동구 용천로 9, 1층 1호 (구월동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.714016152794,37.4503225884643
82,83,별 PC,"인천광역시 남동구 소래역로 42, 소래타워 1층 103호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.734958326094,37.4008288308108
83,84,올레 PC,"인천광역시 남동구 호구포로790번길 35, 1층 3호 (구월동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.721099209824,37.4527602611136
84,85,대박 PC,"인천광역시 남동구 남동서로236번길 30, 논현2차푸르지오시티 1층 104호 (논현동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.695111543923,37.4095689846042
85,86,아이센스리그 PC방 인천구월본점,"인천광역시 남동구 구월남로 216, 가나프라자 401~402호 (구월동)",PC,94,인터넷컴퓨터게임시설제공업,2024-02-22,126.713438146189,37.452498570595
86,87,아우디 PC,"인천광역시 남동구 논현로46번길 14, 리더스프라자 1층 103호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.710675275788,37.401806274783
87,88,아이센스리그 PC방 인천호구포점,"인천광역시 남동구 호구포로 219, 세중프라자 2층 201~202호 (논현동)",PC,109,인터넷컴퓨터게임시설제공업,2024-02-22,126.709566372347,37.4026077147428
88,89,스타덤 PC 인천서창점,"인천광역시 남동구 장아산로 134-4, 3층 301~302호 (서창동)",PC,70,인터넷컴퓨터게임시설제공업,2024-02-22,126.749138483828,37.4391090695616
89,90,더엑스 PC 서창점,"인천광역시 남동구 서창남순환로215번길 20, 2층 202~203호 (서창동)",PC,101,인터넷컴퓨터게임시설제공업,2024-02-22,126.748009583848,37.4253061041823
90,91,모래내 PC,"인천광역시 남동구 호구포로810번길 53, 엘림빌딩 2층 202호 (구월동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.722285488061,37.4545834561112
91,92,동암PC방,"인천광역시 남동구 백범로 457, 성우네오빌 1층 103호 (간석동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.700187599972,37.467903046107
92,93,도깨비PC,"인천광역시 남동구 장승남로 66, 현대프라자 1층 108호 (만수동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.739571254289,37.4432018604165
93,94,따따 PC,"인천광역시 남동구 선수촌공원로23번길 10-10, 솔보프라자 1층 101호 (구월동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.709078104611,37.4415077456934
94,95,물라PC,"인천광역시 남동구 문화서로23번길 4, 2층 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.695913506233,37.4475585982933
95,96,더엑스PC 인천간석점,"인천광역시 남동구 백범로 349, 2층 2층호 (간석동)",PC,60,인터넷컴퓨터게임시설제공업,2024-02-22,126.711630428649,37.4649199046424
96,97,베스트피씨카페,"인천광역시 남동구 석촌로 42, 1층 1층호 (간석동)",PC,87,인터넷컴퓨터게임시설제공업,2024-02-22,126.709067402315,37.4642591297524
97,98,즐거운PC,"인천광역시 남동구 남동대로915번길 8, 102호 (간석동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.707567330055,37.4644570728067
98,99,짱PC,"인천광역시 남동구 하촌로71번길 27, 2층 (만수동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.732326389985,37.454484087211
99,100,간석PC,"인천광역시 남동구 남동대로915번길 10, 1층 (간석동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.70742193348,37.4645234776371
100,101,소래PC,"인천광역시 남동구 포구로 35, 1층 102호 (논현동, 유호엔시티1단지)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,126.738051390363,37.4011609012461
101,102,팡팡 PC,"인천광역시 남동구 소래역로 42, 소래타워 101호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.734958326094,37.4008288308108
102,103,브라보PC방,"인천광역시 남동구 남촌동로3번길 20, 2층 (남촌동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.71682405597,37.4313550223139
103,104,공주PC,"인천광역시 남동구 앵고개로934번길 51, 흥인빌딩 301호 (논현동)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,126.736103539654,37.4002810500251
104,105,아시아드 PC,"인천광역시 남동구 선수촌공원로23번길 6-1, 101호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.709375555228,37.44126583491
105,106,오다가다PC,"인천광역시 남동구 선수촌공원로23번길 10-21, 누리자타운 1층 107호 (구월동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.708607016806,37.4419995288843
106,107,1등 PC,"인천광역시 남동구 남촌동로26번길 9, 1층 (남촌동)",PC,4,인터넷컴퓨터게임시설제공업,2024-02-22,126.715700233846,37.4324475067964
107,108,우리PC,"인천광역시 남동구 문화서로23번길 3, 지하층 (구월동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.695714364319,37.4472839982663
108,109,제로플러스 PC방,"인천광역시 남동구 구월말로 31, 3층 (구월동)",PC,73,인터넷컴퓨터게임시설제공업,2024-02-22,126.724462154981,37.4517802813501
109,110,달마 PC,"인천광역시 남동구 앵고개로948번길 54, 굿모닝타워 3층 303-1호 (논현동)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,126.736525267779,37.4004064212038
110,111,밴틀리 PC,"인천광역시 남동구 남동대로922번길 36, 크리스탈빌딩 104, 105호 (간석동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.710284952891,37.4646572132886
111,112,로데오PC크럽,"인천광역시 남동구 소래역로46번길 28, 대영로데오 401호 (논현동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.735957224189,37.4014888994108
112,113,바다PC,"인천광역시 남동구 경인로 595, 103호 (간석동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.703847176989,37.4648674077175
113,114,떳다PC방,"인천광역시 남동구 예술로346번길 21, 1층 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.703767246001,37.4653580766909
114,115,소울 PC,"인천광역시 남동구 문화로145번길 7, 인화빌딩 201호 (구월동)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,126.699418495884,37.4519138589097
115,116,파워PC,"인천광역시 남동구 선수촌공원로 27, 107호 (구월동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.709774788532,37.4415580229732
116,117,아마존슬롯PC,"인천광역시 남동구 경인로 607, 지하층 (간석동)",PC,40,인터넷컴퓨터게임시설제공업,2024-02-22,126.705122020935,37.4653226316753
117,118,명품PC,"인천광역시 남동구 석촌로 47, 1층 (간석동)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,126.708775700902,37.4648309120277
118,119,욜로PC방 인천서창점,"인천광역시 남동구 서창남로 35, 4층 402,403,404호 (서창동)",PC,100,인터넷컴퓨터게임시설제공업,2024-02-22,126.750600737542,37.4228450693378
119,120,땡구PC,"인천광역시 남동구 앵고개로934번길 51, 흥인빌딩 205호 (논현동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.736103539654,37.4002810500251
120,121,우리PC,"인천광역시 남동구 모래내로 27, 2층 (구월동)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,126.722344558522,37.4541355224735
121,122,황금PC,"인천광역시 남동구 호구포로 201, 논현두손지젤타워 115호 (논현동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.70816999414,37.4013145593452
122,123,돼지PC,"인천광역시 남동구 장아산로 134-4, 3호 (서창동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.749138483828,37.4391090695616
123,124,원탑PC,"인천광역시 남동구 서창남순환로216번길 17, 스카이플러스 122호 (서창동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.749433684454,37.4235351220547
